open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,sma_7d,sma_30d,sma_50d,sma_100d,return,volatility_20,volatility_50,volatility_100,volatility_14d,rsi_14,rsi_14d,MACD,Signal,MACD_Hist,volume_rel20,volume_rel20d,will_up
2025-09-08 00:00:00,206.35,207.1,205.66,205.66,170192.794,35105553.70968,87237,107882.537,22253151.19314,0.0,0.0,0.0,0.0,-0.00334383329294885,0.005068321477289672,0.0040363297203289215,0.006079866762102277,0.0,58.675799086758026,0.0,1.0506463551883485,0.7115390642633899,0.3391072909249586,1.5996038619141808,0.0,True
2025-09-08 01:00:00,205.66,207.38,205.59,206.89,106044.155,21893752.26852,73254,67557.205,13946244.47976,0.0,0.0,0.0,0.0,0.0059807449187980755,0.00518317211455524,0.004078956549237934,0.006105515225271157,0.0,60.62364031907177,0.0,1.0618210817323757,0.7147674699543483,0.3470536117780274,0.9623591803515604,0.0,True
2025-09-08 02:00:00,206.89,208.0,206.12,207.81,139364.553,28889774.27895,74884,89614.799,18583942.36981,0.0,0.0,0.0,0.0,0.004446807482237025,0.005160183656170882,0.004108973315343265,0.006102868283563088,0.0,63.911845730027565,0.0,1.0762822305017608,0.718099403231283,0.3581828272704778,1.209204144232719,0.0,False
2025-09-08 03:00:00,207.81,209.0,207.49,207.65,274334.931,57122561.67889,80168,152376.191,31717361.34482,0.0,0.0,0.0,0.0,-0.0007699340743948513,0.005155164648991104,0.004099071999417304,0.00608758281107924,0.0,64.7140864714087,0.0,1.0899782456280889,0.7215268579999171,0.36845138762817176,2.1655213423866635,0.0,True
2025-09-08 04:00:00,207.65,208.64,206.96,207.82,107016.118,22242322.87672,68593,58200.18,12097828.99216,0.0,0.0,0.0,0.0,0.0008186852877436479,0.0051423452205232026,0.004097957460124633,0.006083874937239532,0.0,64.51612903225808,0.0,1.1041442873588778,0.7250532859202763,0.3790910014386015,0.832451767771816,0.0,False
2025-09-08 05:00:00,207.82,207.93,206.69,207.32,139390.699,28896510.28237,57313,73185.016,15169065.9775,0.0,0.0,0.0,0.0,-0.0024059282071022814,0.005162686070248121,0.004110978549240641,0.006075902709145956,0.0,58.00604229607255,0.0,1.1162826173262204,0.728659086209732,0.3876235311164884,1.0471009061315952,0.0,False
2025-09-08 06:00:00,207.32,207.7,206.66,207.08,94525.826,19582335.37107,53523,55640.543,11527524.994,0.0,0.0,0.0,0.0,-0.0011576307158015497,0.005185668192243079,0.004066813497221794,0.00599168377437298,0.0,65.47314578005134,0.0,1.1273807510620202,0.7323339402636702,0.39504681079835,0.6951707105426814,0.0,True
2025-09-08 07:00:00,207.08,208.87,207.02,207.92,201655.424,41984165.43249,69095,114007.887,23736076.7996,0.0,0.0,0.0,0.0,0.004056403322387325,0.005216257635750941,0.00402986827876608,0.006005589818134553,0.0,76.75675675675697,0.0,1.1414669954195915,0.7361047518319275,0.40536224358766404,1.4037217172121605,0.0,True
2025-09-08 08:00:00,207.92,209.48,207.39,208.93,199335.7,41603522.21848,87905,122145.898,25496957.34435,0.0,0.0,0.0,0.0,0.004857637552905025,0.00526529643681785,0.004075304849406055,0.006004364470821285,0.0,78.41004184100443,0.0,1.159143334295095,0.740003724942187,0.41913960935290795,1.3208708387532047,0.0,True
2025-09-08 09:00:00,208.93,210.94,208.65,210.87,286405.751,60088426.61729,99624,197349.807,41409654.31572,0.0,0.0,0.0,0.0,0.00928540659551036,0.005508274753109225,0.004243993803917336,0.0060707307941027435,0.0,80.07722007722028,0.0,1.1838331086560459,0.7440943183404715,0.4397387903155744,1.7551243538699035,0.0,True
2025-09-08 10:00:00,210.87,215.84,210.43,215.22,781574.21,166915253.63469,288856,505239.175,107873850.82087,0.0,0.0,0.0,0.0,0.02062882344572481,0.006925908442889427,0.00508713817148853,0.006399281719778423,0.0,83.3117723156535,0.0,1.22443114886687,0.7485213859029267,0.4759097629639433,3.9359893218041515,0.0,False
2025-09-08 11:00:00,215.22,215.3,212.96,214.28,330906.175,70790691.14598,155864,161995.144,34650379.91932,0.0,0.0,0.0,0.0,-0.004367623826781908,0.0070097909427585614,0.005096368617757174,0.006415987806440987,0.0,79.7029702970298,0.0,1.2610949133686802,0.7532455658795697,0.5078493474891105,1.616850895297484,0.0,True
2025-09-08 12:00:00,214.28,215.0,213.52,214.47,238674.428,51133025.20728,90064,134369.968,28797984.20455,0.0,0.0,0.0,0.0,0.0008866903117417113,0.006553354312847626,0.005096477921485138,0.006414510394710348,0.0,76.45369705671224,0.0,1.2980673888124556,0.7582669651692737,0.5398004236431819,1.137142487711979,0.0,False
2025-09-08 13:00:00,214.47,216.31,212.8,213.28,411806.427,88365158.87675,183395,211210.863,45362198.17737,0.0,0.0,0.0,0.0,-0.0055485615703827484,0.006429774526782588,0.005156941204394995,0.0064256101094677135,0.0,74.11273486430073,0.0,1.3302104659738063,0.7635383338402832,0.5666721321335231,1.8662242302672891,0.0,True
2025-09-08 14:00:00,213.28,215.78,212.99,215.27,278236.211,59666994.64116,127251,149322.242,32034719.20465,0.0,0.0,0.0,0.0,0.009330457614403542,0.006575098403812923,0.005281724687111554,0.0064827823328554674,0.0,80.66368857689866,0.0,1.3694031220162515,0.769122341104578,0.6002807809116735,1.2052469228159446,0.0,False
2025-09-08 15:00:00,215.27,216.83,214.71,215.04,461974.013,99660254.45294,143581,245799.555,53028800.30228,0.0,0.0,0.0,0.0,-0.0010684256979608397,0.006631531784381056,0.005290327831301361,0.006481532432027652,0.0,77.77777777777783,0.0,1.407313978655992,0.7750042916810888,0.6323096869749033,1.844334250825062,0.0,False
2025-09-08 16:00:00,215.04,215.49,213.88,214.93,225333.201,48342188.09898,95716,114848.768,24646801.86628,0.0,0.0,0.0,0.0,-0.0005115327380951218,0.006506700682369844,0.005282955285104773,0.006461116254362797,0.0,75.68542568542578,0.0,1.4444015901279954,0.7811738520354381,0.6632277380925573,0.8752562312098597,0.0,True
2025-09-08 17:00:00,214.93,217.0,213.98,215.42,290681.249,62748501.44343,111526,161282.807,34830604.54987,0.0,0.0,0.0,0.0,0.0022798120318241466,0.006452335866021045,0.005231842710333219,0.006429200578881365,0.0,77.37843551797044,0.0,1.4829056976017227,0.7876414266489523,0.6952642709527704,1.1013038494994543,0.0,True
2025-09-08 18:00:00,215.42,217.0,214.78,216.67,165044.533,35669938.97943,82670,93249.876,20158289.90498,0.0,0.0,0.0,0.0,0.005802618141305338,0.006130826568646062,0.005268997232566487,0.0063938692546220074,0.0,78.97838899803543,0.0,1.5256386598030645,0.794443244466041,0.7311954153370235,0.6326380065078241,0.0,False
